GEODOMI LABEL,GEODOMI,GEODOMI CAT,OLD LOCDOMI,OLD LOCDOMI LABEL,MSA/CMSA/NECMA
TAJIKISTAN,00762,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
THAILAND,00764,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
TOGO,00768,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
TOKELAU,00772,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
TONGA,00776,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
TRINIDAD AND TOBAGO,00780,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
UNITED ARAB EMIRATES,00784,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
TUNISIA,00788,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
TURKEY,00792,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
TURKMENISTAN,00795,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
TURKS AND CAICOS ISLANDS,00796,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
TUVALU,00798,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
UGANDA,00800,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
UKRAINE,00804,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",00807,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
EGYPT,00818,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
UNITED KINGDOM,00826,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
GUERNSEY,00831,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
JERSEY,00832,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ISLE OF MAN,00833,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
"TANZANIA, UNITED REPUBLIC OF",00834,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
BURKINA FASO,00854,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
URUGUAY,00858,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
UZBEKISTAN,00860,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
"VENEZUELA, BOLIVARIAN REPUBLIC OF",00862,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
WALLIS AND FUTUNA,00876,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
SAMOA,00882,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
YEMEN,00887,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ZAMBIA,00894,FOREIGN COUNTRIES,980,FOREIGN COUNTRIES,
ALABAMA,01000,US STATES,910,ALABAMA,
ALASKA,02000,US STATES,911,ALASKA,
ARIZONA,04000,US STATES,912,ARIZONA,
ARKANSAS,05000,US STATES,913,ARKANSAS,
CALIFORNIA,06000,US STATES,914,CALIFORNIA,
COLORADO,08000,US STATES,915,COLORADO,
CONNECTICUT,09000,US STATES,916,CONNECTICUT,
DELAWARE,10000,US STATES,917,DELAWARE,
DISTRICT OF COLUMBIA,11000,US STATES,918,"WASHINGTON,D.C",
FLORIDA,12000,US STATES,919,FLORIDA,
GEORGIA (US STATE),13000,US STATES,920,GEORGIA,
HAWAII,15000,US STATES,921,HAWAII,
IDAHO,16000,US STATES,922,IDAHO,
ILLINOIS,17000,US STATES,923,ILLINOIS,
INDIANA,18000,US STATES,924,INDIANA,
IOWA,19000,US STATES,925,IOWA,
KANSAS,20000,US STATES,926,KANSAS,
KENTUCKY,21000,US STATES,927,KENTUCKY,
LOUISIANA,22000,US STATES,928,LOUISIANA,
MAINE,23000,US STATES,929,MAINE,
MARYLAND,24000,US STATES,930,MARYLAND,
MASSACHUSETTS,25000,US STATES,931,MASSACHUSETTS,
MICHIGAN,26000,US STATES,932,MICHIGAN,
MINNESOTA,27000,US STATES,933,MINNESOTA,
MISSISSIPPI,28000,US STATES,934,MISSISSIPPI,
MISSOURI,29000,US STATES,935,MISSOURI (OTHER),
ADAIR,29001,MO COUNTIES,001,ADAIR,
ANDREW,29003,MO COUNTIES,002,ANDREW,7000
